Sample ID,Site Type,Site Code,Site name,Site Grid Ref.,Visit date,Notes,Grid Ref.,Mean % Sun,Recorder Name,Start Time,End Time,% Sun,% Cloud,Temp (Deg C) term ID,Temp (Deg C) term,Wind Direction term ID,Wind Direction term,Wind Speed term ID,Wind Speed term,Reliability term ID,Reliability term
6022394,Transect,EBMS:Italy:10,"Rocca Bianca, AB1",44.66849N 7.16222E,30/07/2018,,44.66849N 7.16222E,,Monviso Natural Park,09:42,10:42,90,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022395,Transect,EBMS:Italy:10,"Rocca Bianca, AB1",44.66849N 7.16222E,16/08/2018,,44.66849N 7.16222E,,Monviso Natural Park,09:53,10:53,40,,16540,20,,,2456,4. Dust raised and small branches move,,
6022407,Transect,EBMS:Italy:11,"Vallone dell'Alpetto, AF2",44.66194N 7.14975E,30/06/2018,,44.66194N 7.14975E,,Monviso Natural Park,11:50,12:50,70,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022409,Transect,EBMS:Italy:11,"Vallone dell'Alpetto, AF2",44.66194N 7.14975E,18/07/2018,,44.66194N 7.14975E,,Monviso Natural Park,09:51,10:51,90,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022411,Transect,EBMS:Italy:11,"Vallone dell'Alpetto, AF2",44.66194N 7.14975E,29/07/2018,,44.66194N 7.14975E,,Monviso Natural Park,09:50,10:50,70,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022413,Transect,EBMS:Italy:11,"Vallone dell'Alpetto, AF2",44.66194N 7.14975E,11/08/2018,,44.66194N 7.14975E,,Monviso Natural Park,09:45,10:45,50,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022508,Transect,EBMS:Italy:13,"Pian Grande delle Tampe, RV2",44.69076N 7.1166E,03/07/2018,,44.69076N 7.1166E,,Monviso Natural Park,10:00,11:00,70,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022516,Transect,EBMS:Italy:13,"Pian Grande delle Tampe, RV2",44.69076N 7.1166E,27/07/2018,,44.69076N 7.1166E,,Monviso Natural Park,09:51,10:51,70,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022534,Transect,EBMS:Italy:13,"Pian Grande delle Tampe, RV2",44.69076N 7.1166E,31/07/2018,,44.69076N 7.1166E,,Monviso Natural Park,09:45,10:45,90,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022536,Transect,EBMS:Italy:13,"Pian Grande delle Tampe, RV2",44.69076N 7.1166E,23/08/2018,,44.69076N 7.1166E,,Monviso Natural Park,09:50,10:50,70,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6419942,Transect,EBMS:Italy:17,Pian Sengio,"45.460250, 7.316694",25/06/2018,,"45.460250, 7.316694",,Parco Nazionale Gran Paradiso,10:20,11:05,,,16539,19,,,2606,0. Smoke rises vertically,,
